# Languages
System.LanguagesName.EN:				영어
InlandTeleporter.ShroudedIsles.Albion:       아발론 섬은 훌륭한 선택입니다. [고스웨이트]로 가시겠습니까, 아니면 [위어리얼 마을], [귄텔 요새], [케어 디오겔] 같은 외곽 마을로 가시겠습니까?
InlandTeleporter.ShroudedIsles.Midgard:      에기르 섬은 훌륭한 선택입니다. 도시 [에기르함]으로 가시겠습니까, 아니면 [비야르켄], [하갈], [크나르] 같은 외곽 마을로 가시겠습니까?
InlandTeleporter.ShroudedIsles.Hibernia:     하이 브라질 섬은 훌륭한 선택입니다. [돔난] 숲으로 가시겠습니까, 아니면 [드로하이드], [알리드 페이], [네흐트] 같은 외곽 마을로 가시겠습니까?
InlandTeleporter.Housing:                    [개인 주택]이나 [길드 주택]으로 보내드릴 수 있습니다. 개인 주택이 없다면 주택 [입구] 또는 주택 [귀환 위치]로 이동할 수 있습니다.
InlandTeleporter.Towns.Albion:               다음 지역으로 보내드릴 수 있습니다:\n[코츠월드 마을]\n[프리드웬 성채]\n[케어 울프위치]\n[캄파코렌틴 기지]\n[아드리바드 은거지]\n[야를리 농장]
InlandTeleporter.Towns.Midgard:              다음 지역으로 보내드릴 수 있습니다:\n[물란]\n[벨돈 요새]\n[아우들리텐]\n[후긴펠]\n[아틀라 요새]\n[웨스트 스코나]
InlandTeleporter.Towns.Hibernia:             다음 지역으로 보내드릴 수 있습니다:\n[마그 멜]\n[티르 나 므베오]\n[아르다]\n[호스]\n[콘라]\n[이니스 카르사이그]
InlandTeleporter.NoGuildHouse:               죄송합니다. {0} 길드는 길드 하우스를 보유하고 있지 않습니다.
InlandTeleporter.Teleporting:                {0}: "{1}(으)로 이동시켜 드리겠습니다."
OFTeleporter.PortMessage.Albion:             젖은 대지에서 달빛이 비치는 곳까지, 이 원 안의 모든 이들을 아름다운 카멜롯의 빛이 닿지 않는 잃어버린 땅으로 보내노라!
OFTeleporter.PortMessage.Midgard:            후긴과 무닌이 그대들을 인도하고, 여정의 소식을 품고 돌아오기를.
OFTeleporter.PortMessage.Hibernia:           나아가 하이버니아를 외세의 위협과 어리석은 침략자들로부터 영원히 해방하라.
OFTeleporter.Says:                           {0}: "{1}"

# Cards
Card.Rank.0:                                 에이스
Card.Rank.1:                                 2
Card.Rank.2:                                 3
Card.Rank.3:                                 4
Card.Rank.4:                                 5
Card.Rank.5:                                 6
Card.Rank.6:                                 7
Card.Rank.7:                                 8
Card.Rank.8:                                 9
Card.Rank.9:                                 10
Card.Rank.10:                                잭
Card.Rank.11:                                퀸
Card.Rank.12:                                킹
Card.Suit.0:                                 하트
Card.Suit.1:                                 다이아몬드
Card.Suit.2:                                 클럽
Card.Suit.3:                                 스페이드
Card.Name:                                   {1} {0}
Card.Card:                                   장
Card.Cards:                                  장
Card.Deck:                                   덱
Card.Decks:                                  덱
Card.ACard:                                  카드 한 장
Card.FaceDown:                               뒷면 카드 한 장
Card.Yourself:                               자신에게
Card.Themself:                               자신에게
Card.YouHaveNoCards:                         가진 카드가 없습니다.
Card.PlayerHasNoCards:                       {0}은(는) 가진 카드가 없습니다.
Card.YouAreHolding:                          카드 {0}{1}을(를) 들고 있습니다.
Card.PlayerIsHolding:                        {0}은(는) 카드 {1}{2}을(를) 들고 있습니다.
Card.YouDiscardCard:                         손에서 {0}을(를) 버렸습니다.
Card.PlayerDiscardsCard:                     {0}이(가) 손에서 {1}을(를) 버렸습니다.
Card.CannotPlayWithoutGroup:                 그룹 없이는 카드를 플레이할 수 없습니다!
Card.NoCardWithId:                           손에 ID {0} 카드가 없습니다!
Card.YouDiscardAll:                          모든 카드를 버렸습니다.
Card.PlayerDiscardsAll:                      {0}이(가) 모든 카드를 버렸습니다.
Card.MustHaveGroup:                          카드를 플레이하려면 그룹이 있어야 합니다!
Card.YouShuffle:                             카드 {0}{1}을(를) 섞었습니다.
Card.PlayerShuffles:                         {0}이(가) 카드 {1}{2}을(를) 섞었습니다.
Card.PlayerMustBeInGroup:                    {0}은(는) 카드를 플레이하려면 당신의 그룹에 있어야 합니다!
Card.MustShuffleBeforeDealing:               카드를 나눠주기 전에 /shuffle로 카드를 준비해야 합니다!
Card.NoCardsLeft:                            덱에 남은 카드가 없습니다. /shuffle로 새 덱을 준비하세요.
Card.YouDeal:                                {0} {1}을(를) 나눠줬습니다.
Card.PlayerDealsYou:                         {0}이(가) 당신에게 {1}을(를) 나눠줬습니다.
Card.PlayerDeals:                            {0}이(가) {1} {2}을(를) 나눠줬습니다.
Card.YouShowHand:                            손패를 공개했습니다.
Card.PlayerShowsHand:                        {0}이(가) 손패를 공개했습니다.
Card.YouHaveNoCardsToDiscard:                버릴 카드가 없습니다.

# Guild and battlegroup
Guild.NotEnoughMoney:                        돈이 부족합니다!
Guild.MemberLoggedIn:                        길드원 {0} 님이 접속했습니다!
Guild.YouJoined:                             {0} 길드에 가입했습니다!
Guild.CurrentRank:                           현재 길드 등급은 {0}입니다!
Guild.MemberJoined:                          {0} 님이 길드에 가입했습니다!
Guild.YouLeave:                              길드를 탈퇴했습니다.
Guild.RemovedBy:                             {0} 님이 당신을 {1} 길드에서 추방했습니다.
GuildMgr.GuildAlreadyExists:                 {0} 길드는 이미 존재합니다. 다른 이름을 선택하세요.
GuildMgr.DatabaseErrorAddGuild:              데이터베이스 오류로 새 길드를 추가할 수 없습니다.
GuildMgr.EmblemInUse:                        이 문장은 이미 다른 길드가 사용 중입니다. 다른 문장을 선택하세요.
BattleGroup.YouLeave:                        배틀그룹에서 나갔습니다.
BattleGroup.MemberLeft:                      {0} 님이 배틀그룹을 떠났습니다.

# Commands
Commands.ServerInfo.Title:                   서버 정보
Commands.ServerInfo.Online:                  접속 중: {0}
Commands.ServerInfo.Uptime:                  가동 시간: {0}일 {1}시간 {2}분 {3:00}초

# Quests, tasks, and server rules
TaskDungeonMission.MissionComplete:          임무 완료
TaskDungeonInstance.Entered:                 {0}에 입장했습니다.
TaskDungeonInstance.Level:                   이 인스턴스의 현재 레벨은 {0}입니다.
KillTask.NoKillOrder:                        지금은 처치 과업 대상을 찾을 수 없습니다. 나중에 다시 와 주세요!
KillTask.NoTaskComeBackLater:                지금은 맡길 과업이 없습니다. 나중에 다시 와 주세요.
CraftTask.CraftForNpc:                       {2}에 있는 {1}을(를) 위해 {0}을(를) 제작하세요.
AbstractQuest.CommandInterrupted:            {0} 행동이 중단되었습니다!
AbstractQuest.CommandCompletedHandlerMissing:퀘스트 명령 완료 처리기가 구현되어 있지 않습니다!
AbstractQuest.BackpackFullItemDropped:       배낭이 가득 차서 {0}이(가) 바닥에 떨어졌습니다.
AbstractQuest.BackpackFull:                  배낭이 가득 찼습니다!
AdventureWingJumpPoint.InstanceCreateError:  인스턴스를 생성하는 중 문제가 발생했습니다!
AbstractServerRules.UnknownMerchantType:     알 수 없는 상인 유형입니다.
GameKeepComponent.Examine.Z:                 {0}의 Z 좌표는 {1}입니다
GameKeepComponent.KeepNull:                  킵 정보가 없습니다!
GamePlayer.RealmTitle.UnknownRealm:          알 수 없는 렐름
GamePlayer.RealmTitle.UnknownRank:           알 수 없는 랭크
DetailDisplay.Spell.Unknown:                 알 수 없는 주문

# Custom NPCs
KingNPC.ChampionLevelReached:                챔피언 레벨 {0}에 도달했습니다!
KingNPC.CanRespecializeChampionSkills:       원하시면 챔피언 스킬을 [챔피언 스킬 초기화]할 수 있습니다.
KingNPC.ChampionSkillsReset:                 챔피언 스킬을 초기화했습니다!
EmblemNPC.Interact.Offer:                    5골드에 길드 문장을 아이템에 새겨 드릴 수 있습니다. 아이템을 건네주세요.
EmblemNPC.ItemAlreadyHasEmblem:              이 아이템에는 이미 문장이 새겨져 있습니다.
EmblemNPC.NoGuild:                           길드에 속해 있지 않습니다.
EmblemNPC.GuildNoEmblem:                     길드에 문장이 없습니다.
EmblemNPC.LevelOrTradeskillRequired:         문장을 착용하려면 레벨 20 이상이거나 제작 기술이 400 이상이어야 합니다.
EmblemNPC.NotEnoughPrivileges:               그 권한이 없습니다.
EmblemNPC.ConfirmPutEmblem:                  {0}을(를) 지불하고 이 물건에 문장을 새기겠습니까?
EmblemNPC.CannotPutEmblemOnItem:             이 아이템에는 문장을 새길 수 없습니다.
EmblemNPC.InvalidItem:                       유효하지 않은 아이템입니다.
EmblemNPC.NotEnoughMoney:                    돈이 부족합니다.
EmblemNPC.EmblemApplied:                     아이템에 문장을 새겼습니다.
DreadedSealCollector.HandSealsForBpAndRp:    공포의 인장을 건네주시면 바운티 포인트와 렐름 포인트를 드립니다!
DreadedSealCollector.HandSealsForBp:         공포의 인장을 건네주시면 바운티 포인트를 드립니다!
DreadedSealCollector.HandSealsForRp:         공포의 인장을 건네주시면 렐름 포인트를 드립니다!
DreadedSealCollector.NoSealTypesDefined:     현재 정의된 공포의 인장 유형이 없어 인장을 받을 수 없습니다.
DreadedSealCollector.TooFarAway:             {0} 님, 제게 물건을 건네기에는 너무 멀리 있습니다. 조금 더 가까이 와 주세요.
DreadedSealCollector.NoLevelMultipliers:     현재 레벨 배율이 정의되어 있지 않아 인장을 받을 수 없습니다.
DreadedSealCollector.CannotAcceptItemType:   죄송하지만 그 유형의 아이템은 받을 수 없습니다.
DreadedSealCollector.TooYoung:               {0} 님은 아직 이 아이템을 사용하기에는 레벨이 낮습니다. {1}레벨 후에 다시 오세요.
BuffMerchant.Greeting:                       어서 오세요, {0} 님. 국왕께서는 당신이 용맹하게 땅을 지킬 수 있도록 제가 힘을 보태라 하셨습니다. 원하는 강화 토큰을 건네주시면 그에 맞게 강화해 드리겠습니다. [골드] 또는 [바운티 포인트]로 토큰을 구매하시겠습니까?
BuffMerchant.TooFarAway:                     {0}에게 물건을 건네기에는 너무 멀리 있습니다.
BuffMerchant.FightWell:                      잘 싸우십시오, {0}.
CraftNPC.Interact.AlreadyMemberChangedPrimarySkill: 안녕하세요, {0}님! 이미 우리 조합원이므로 다시 가입할 필요는 없습니다. 주 제작 기술을 {1}(으)로 변경했습니다. 다시 변경하고 싶다면 저나 다른 제작 마스터에게 말씀하세요.
