# Languages
System.LanguagesName.EN:				English
EmblemNPC.EmblemApplied:                     I have put an emblem on your item.
DreadedSealCollector.HandSealsForBpAndRp:    Hand me Dreaded Seals and I'll give you bounty points and realm points!
DreadedSealCollector.HandSealsForBp:         Hand me Dreaded Seals and I'll give you bounty points!
DreadedSealCollector.HandSealsForRp:         Hand me Dreaded Seals and I'll give you realm points!
DreadedSealCollector.NoSealTypesDefined:     Sorry, no dreaded seal types are defined so I cannot accept seals at this time.
DreadedSealCollector.TooFarAway:             You are too far away to give anything to me, {0}. Come a little closer.
DreadedSealCollector.NoLevelMultipliers:     Sorry, no level multipliers are defined so I cannot accept seals at this time.
DreadedSealCollector.CannotAcceptItemType:   Sorry, I cannot accept items of that type.
DreadedSealCollector.TooYoung:               You are too young to make use of these items, {0}. Come back in {1} levels.
BuffMerchant.Greeting:                       Greetings, {0}. The King has instructed me to strengthen you so that you may defend the lands with valor. Simply hand me the token for the enhancement you desire, and I will empower you accordingly. Do you wish to purchase tokens with [Gold] or [Bounty Points]?
BuffMerchant.TooFarAway:                     You are too far away to give anything to {0}.
BuffMerchant.FightWell:                      Fight well, {0}.
CraftNPC.Interact.AlreadyMemberChangedPrimarySkill: Hello, {0}! Because you are already a member of our order, you do not need to join. I have changed your primary crafting skill to {1}. Please speak to me or another craft master if you wish to change your primary crafting skill again.
GuildRegistrar.Interact.FormGuildPrompt:     Hail, {0}. Have you come to [{1}]?
GuildRegistrar.Whisper.FormGuildInstructions:Very well. Gather {0} people who will join you and bring them here. The price is one gold. After I am paid, use /gc form <guildname>. Then I will ask everyone whether they wish to form the guild. Everyone must agree.
FaceCustomiser.Interact.Offer:               {0}, I have discovered a secret spell that will allow you to change your appearance. If you wish, say the word and I will [change your appearance].
FaceCustomiser.Interact.AlreadyGranted:      You have already been granted the ability to change your appearance. Log out to make the changes.
FaceCustomiser.Whisper.DoneLogoutRequired:   It is done! Now you must leave this world for a short time for the magic to work. Log out to change your appearance.
StatsCustomiser.Interact.Offer:              Hello {0}, I can grant you a [stats respec] if you need one.
StatsCustomiser.Interact.AlreadyGranted:     You have already been granted a reset. If you have not used it yet, log out to customize your stats.
StatsCustomiser.Whisper.DoneLogoutRequired:  It is done! Now you must leave this world for a short time for the magic to work. Log out to customize your stats.
RoyalTreasuryClerk.Interact.Intro:           Hello {0}, you can come to me if you lose your Personal Bind Recall Stone.
RoyalTreasuryClerk.Interact.NeedAnotherStone:It looks like you need my service. Do you need [another] Personal Bind Recall Stone?
RoyalTreasuryClerk.Whisper.GiveStone:        Very well then. Here is your Personal Bind Recall Stone. May it serve you well.
Blacksmith.Interact.RepairIntro:             I can repair weapons or armor for you. Just hand me the item you want repaired and I will see what I can do, for a small fee.
Blacksmith.Interact.RepairAllOffer:          If you are in a hurry, I can also [repair all] your items for an additional {0}% fee.
Blacksmith.RepairAll.ConfirmCost:            It will cost {0} to repair everything. Do you accept?
Blacksmith.RepairAll.NothingToRepair:        All items are fully repaired already.
Recharger.Interact.RechargeAllOffer:         If you are in a hurry, I can also [recharge all] your items for an additional {0}% fee.
Recharger.RechargeAll.NothingToRecharge:     All items are fully charged already.
ThroneRoomTeleporter.Interact.ExitPrompt:    Do you wish to [exit]?
ThroneRoomTeleporter.Interact.KingPrompt:    Do you require an audience with the [King]?
ThroneRoomTeleporter.Interact.KingBusy:      I am afraid, but the King is busy right now.
ThroneRoomTeleporter.Interact.StoneFallback: If you are only here to get your Personal Bind Recall Stone, then I will see what I can [do].
ThroneRoomTeleporter.Teleport.Accepted:      Very well...
ThroneRoomTeleporter.Whisper.GiveStone:      Very well then. Here is your Personal Bind Recall Stone. May it serve you well.
ThroneRoomTeleporter.Error.ThroneRoomNotFound: Server error, can't find throne room.
ThroneRoomTeleporter.Error.ExitNotFoundMoveBind: Server error, can't find exit to this throne room. Moving you to your last bind point.
ThroneRoomTeleporter.Error.TeleportLocationNotFound: Server error, can't find throne room teleport location.
AlbionTeleporter.Interact.Menu:              Greetings, {0}. I can channel energy to transport you to distant lands. I can send you to the following locations:\n\n[Castle Sauvage] in Camelot Hills or \n[Snowdonia Fortress] in Black Mtns. North\n[Avalon Marsh] wharf\n[Gothwaite Harbor] in the [Shrouded Isles]\n[Camelot] our glorious capital\n[Entrance] to the areas of [housing]\n\nOr one of the many [towns] throughout Albion
MidgardTeleporter.Interact.Menu:             Greetings, {0}. I can channel energy to transport you to distant lands. I can send you to the following locations:\n\n[Svasud Faste] in Mularn or \n[Vindsaul Faste] in West Svealand\nBeaches of [Gotar] near Nailiten\n[Aegirhamn] in the [Shrouded Isles]\nOur glorious city of [Jordheim]\n[Entrance] to the areas of [housing]\n\nOr one of the many [towns] throughout Midgard
HiberniaTeleporter.Interact.Menu:            Greetings, {0}. I can channel energy to transport you to distant lands. I can send you to the following locations:\n\n[Druim Ligen] in Connacht or \n[Druim Cain] in Bri Leith\n[Shannon Estuary] watchtower\n[Domnann] Grove in the [Shrouded Isles]\n[Tir na Nog] our glorious capital\n[Entrance] to the areas of [housing]\n\nOr one of the many [towns] throughout Hibernia
AlbionTeleporter.SubSelection.ShroudedIslesPrompt: The isles of Avalon are an excellent choice. Would you prefer [Gothwaite] or perhaps one of the outlying towns like [Wearyall Village], Fort [Gwyntell], or [Caer Diogel]?
MidgardTeleporter.SubSelection.ShroudedIslesPrompt: The isles of Aegir are an excellent choice. Would you prefer the city of [Aegirhamn] or perhaps one of the outlying towns like [Bjarken], [Hagall], or [Knarr]?
HiberniaTeleporter.SubSelection.ShroudedIslesPrompt: The isles of Hy Brasil are an excellent choice. Would you prefer the grove of [Domnann] or perhaps one of the outlying towns like [Droighaid], [Aalid Feie], or [Necht]?
RealmTeleporter.SubSelection.HousingPrompt:  I can send you to your [personal] or [guild] house. If you do not have a personal house, I can teleport you to the housing [entrance] or your housing [hearth] bindstone.
AlbionTeleporter.SubSelection.TownsPrompt:  I can send you to:\n[Cotswold Village]\n[Prydwen Keep]\n[Caer Ulfwych]\n[Campacorentin Station]\n[Adribard's Retreat]\n[Yarley's Farm]
